geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Birmingham,driving,NA,Alabama,United States,2021-01-08,117.31
city,Birmingham,driving,NA,Alabama,United States,2021-01-09,109.07
city,Birmingham,driving,NA,Alabama,United States,2021-01-10,80.57
city,Birmingham,driving,NA,Alabama,United States,2021-01-11,93.06
city,Birmingham,driving,NA,Alabama,United States,2021-01-12,98.87
city,Birmingham,driving,NA,Alabama,United States,2021-01-13,103.41
city,Birmingham,driving,NA,Alabama,United States,2021-01-14,105.36
city,Birmingham,driving,NA,Alabama,United States,2021-01-15,123.91
city,Birmingham,driving,NA,Alabama,United States,2021-01-16,115.96
city,Birmingham,driving,NA,Alabama,United States,2021-01-17,85.84
city,Birmingham,driving,NA,Alabama,United States,2021-01-18,102.29
city,Birmingham,driving,NA,Alabama,United States,2021-01-19,96.75
city,Birmingham,driving,NA,Alabama,United States,2021-01-20,98.1
city,Birmingham,driving,NA,Alabama,United States,2021-01-21,99.6
city,Birmingham,driving,NA,Alabama,United States,2021-01-22,119.31
city,Birmingham,driving,NA,Alabama,United States,2021-01-23,123.39
city,Birmingham,driving,NA,Alabama,United States,2021-01-24,82.1
city,Birmingham,driving,NA,Alabama,United States,2021-01-25,96.24
city,Birmingham,driving,NA,Alabama,United States,2021-01-26,107.63
city,Birmingham,driving,NA,Alabama,United States,2021-01-27,102.87
city,Birmingham,driving,NA,Alabama,United States,2021-01-28,105.61
city,Birmingham,driving,NA,Alabama,United States,2021-01-29,124.97
city,Birmingham,driving,NA,Alabama,United States,2021-01-30,126.78
city,Birmingham,driving,NA,Alabama,United States,2021-01-31,85.33
city,Birmingham,driving,NA,Alabama,United States,2021-02-01,95.61
city,Birmingham,driving,NA,Alabama,United States,2021-02-02,100.53
city,Birmingham,driving,NA,Alabama,United States,2021-02-03,104.46
city,Birmingham,driving,NA,Alabama,United States,2021-02-04,110.27
city,Birmingham,driving,NA,Alabama,United States,2021-02-05,127.14
city,Birmingham,driving,NA,Alabama,United States,2021-02-06,117.94
city,Birmingham,driving,NA,Alabama,United States,2021-02-07,83.88
city,Birmingham,driving,NA,Alabama,United States,2021-02-08,98.85
city,Birmingham,driving,NA,Alabama,United States,2021-02-09,106.46
city,Birmingham,driving,NA,Alabama,United States,2021-02-10,112.24
city,Birmingham,driving,NA,Alabama,United States,2021-02-11,110.35
city,Birmingham,driving,NA,Alabama,United States,2021-02-12,133.76
city,Birmingham,driving,NA,Alabama,United States,2021-02-13,131.64
city,Birmingham,driving,NA,Alabama,United States,2021-02-14,98.46
city,Birmingham,driving,NA,Alabama,United States,2021-02-15,73.88
city,Birmingham,driving,NA,Alabama,United States,2021-02-16,47.43
city,Birmingham,driving,NA,Alabama,United States,2021-02-17,101.22
city,Birmingham,driving,NA,Alabama,United States,2021-02-18,105.62
